"Source";"Target"
1;9
1;12
1;14
2;13
2;14
2;15
3;10
3;12
3;14
4;9
4;10
4;13
5;2
5;9
5;13
6;7
6;10
6;12
6;13
6;17
6;18
7;10
7;15
7;17
7;20
7;24
8;7
8;10
8;12
8;15
8;16
8;23
9;2
9;14
9;15
10;6
10;7
10;8
10;12
10;13
10;14
10;15
10;16
10;19
10;21
10;25
11;12
11;13
11;17
11;19
12;7
12;8
12;13
12;14
12;15
12;16
12;17
12;19
12;24
13;2
13;10
13;11
13;12
13;15
14;9
14;12
14;13
15;2
15;6
15;7
15;8
15;10
15;13
15;21
15;24
16;2
16;8
16;11
16;12
16;13
16;17
16;24
16;25
17;12
17;16
17;18
18;6
18;7
18;8
18;10
18;17
18;19
18;20
18;24
19;8
19;10
19;12
19;18
19;24
20;7
20;12
20;19
21;10
21;15
21;17
21;20
21;24
22;8
22;10
22;17
22;20
22;24
22;25
23;8
23;10
23;20
23;24
23;25
24;10
24;11
24;12
24;15
24;18
25;10
25;12
25;15
25;17
25;18
25;23
