Faction;Min;Q1;Median;Mean;Q3;Max
Young Turks;;;;;;
In-degree;0;2;3;4.143;6;10
Closeness;0.00167;0.0175;0.01961;0.01831;0.02277;0.02632
Betweeness;0;3.725;4.997;10.632;13.362;35.25
Loyal Oppposition;;;;;;
In-degree;3;4;5;8;14;14
Closeness;0.01887;0.02;0.02128;0.02363;0.02857;0.02941
Betweeness;3.835;15.797;15.859;15.859;78.009;97.249
Outcasts;;;;;;
In-degree;4;5;8;7;8.5;9
Closeness;0.01961;0.022;0.02439;0.0228;0.02439;0.02439
Betweeness;10.05;14.09;18.13;18.02;22;25.87
Interstitial;;;;;;
In-degree;5;7;9;8;9.5;10
Closeness;0.01852;0.02089;0.02326;0.0227;0.02479;0.02632
Betweeness;4.01;6.417;8.825;23.756;33.629;58.434
Unknown;;;;;;
In-degree;0;0;0;2.143;4.5;6
Closeness;0.00167;0.00167;0.00167;0.00965;0.01854;0.02381
Betweeness;0;0;0;5.644;5.644;25.358
