Faction;Min;Q1;Median;Mean;Q3;Max
Young Turks;;;;;;
In-degree;3;4.5;8;7;9;11
Closeness;0.017;0.0198;0.0233;0.022;0.0235;0.027
Betweeness;3.151;12.701;26.778;34.392;52.871;79.668
Loyal Oppposition;;;;;;
In-degree;4;5;7;7.9;9;13
Closeness;0.0175;0.0208;0.0217;0.0225;0.0238;0.0286
Betweeness;24.93;29.13;45.39;52.87;76.68;88.19
Outcasts;;;;;;
In-degree;2;2.5;3;2.667;3;3
Closeness;0.0132;0.0142;0.0152;0.0154;0.0165;0.0179
Betweeness;0;6.207;12.413;13.012;19.518;26.622
Interstitial;;;;;;
In-degree;3;4;5;5;6;7
Closeness;0.0189;0.0194;0.02;0.0207;0.0216;0.0233
Betweeness;12.57;21.94;31.31;38.91;52.07;72.83
Unknown;;;;;;
In-degree;1;1.5;2;3;4.5;6
Closeness;0.0125;0.0153;0.0161;0.0175;0.0206;0.0222
Betweeness;0.45;1.746;3.61;7.453;13.382;17.857
