Faction;Min;Q1;Median;Mean;Q3;Max
Young Turks;;;;;;
Positive edge transitivity;0.1273;0.1637;0.1905;0.2415;0.3083;0.4286
Negative edge transitivity;0.1429;0.1524;0.2667;0.2411;0.2924;0.3889
Loyal Opposition;;;;;;
Positive edge transitivity;0.1462;0.1515;0.2279;0.2048;0.2436;0.2545
Negative edge transitivity;0.1467;0.1621;0.2051;0.237;0.2424;0.4286
Outcasts;;;;;;
Positive edge transitivity;0.25;0.2639;0.2778;0.287;0.3056;0.3333
Negative edge transitivity;0.1648;0.1923;0.2198;0.2171;0.2432;0.2667
Interstitial;;;;;;
Positive edge transitivity;0.1667;0.1726;0.1786;0.1817;0.1893;0.2
Negative edge transitivity;0.1373;0.1401;0.1429;0.154;0.1623;0.1818
Unknown;;;;;;
Positive edge transitivity;0.1333;0.25;0.4444;0.4587;0.65;0.8333
Negative edge transitivity;0.1905;0.25;0.3333;0.4796;0.6667;1
